trial_id,image_id,condition,POS,concreteness,importance,rank,model
matched_con_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,con,NN,5.0,0.955078125,0.15151515151515152,clip
matched_con_COCO_val2014_000000540159.jpg,val2014/COCO_val2014_000000540159.jpg,con,NN,5.0,0.6460176991150443,0.09090909090909091,human
matched_abs_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,abs,NN,5.0,1.0,0.2,clip
matched_abs_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,abs,NN,5.0,0.7941176470588235,0.13333333333333333,human
matched_abs_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,abs,VB,2.78,0.0599365234375,0.1111111111111111,clip
matched_abs_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,abs,VB,2.78,1.0,0.2,human
matched_abs_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,abs,NN,4.87,0.505859375,0.17777777777777778,clip
matched_abs_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,abs,NN,4.87,0.5147058823529411,0.06666666666666667,human
matched_con_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,con,NN,5.0,1.0,0.2222222222222222,clip
matched_con_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,con,NN,5.0,0.4845360824742268,0.08333333333333333,human
matched_con_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,con,NN,5.0,0.0782470703125,0.1388888888888889,clip
matched_con_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,con,NN,5.0,1.0,0.19444444444444445,human
matched_con_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,con,NN,4.75,0.063720703125,0.1111111111111111,clip
matched_con_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,con,NN,4.75,0.711340206185567,0.16666666666666666,human
matched_con_COCO_val2014_000000480407.jpg,val2014/COCO_val2014_000000480407.jpg,con,NN,4.87,0.32061004638671875,0.19444444444444445,clip
