,Image,Condition,Human,CLIP
125,46,Abstract,0.913,0.297119140625
126,47,Abstract,0.8861666666666668,0.2802734375
127,48,Abstract,0.9668333333333334,0.3544921875
128,49,Abstract,0.7301666666666669,0.31591796875
129,50,Abstract,0.49200000000000005,0.22705078125
130,51,Abstract,0.9486666666666667,0.34228515625
131,52,Abstract,0.8408333333333334,0.260009765625
132,53,Abstract,0.7161666666666665,0.291259765625
133,54,Abstract,0.9196666666666666,0.353271484375
134,55,Abstract,0.9241666666666666,0.360595703125
135,56,Abstract,0.859,0.26220703125
136,57,Abstract,0.8635,0.29736328125
137,58,Abstract,0.7366666666666668,0.326416015625
138,59,Abstract,0.8166666666666667,0.261474609375
139,60,Abstract,0.8556666666666666,0.320068359375
140,61,Abstract,0.32983333333333337,0.29541015625
141,62,Abstract,0.7616666666666665,0.267822265625
142,63,Abstract,0.8880000000000002,0.312744140625
143,64,Abstract,0.8401666666666668,0.34765625
144,65,Abstract,0.8598333333333336,0.221435546875
145,66,Abstract,0.7858333333333334,0.2646484375
146,67,Abstract,0.8706666666666665,0.305908203125
147,68,Abstract,0.761333333333333,0.280029296875
148,69,Abstract,0.8123333333333334,0.3115234375
149,70,Abstract,0.8278333333333333,0.33251953125
150,71,Abstract,0.9564999999999998,0.310302734375
151,72,Abstract,0.7175000000000004,0.2587890625
152,73,Abstract,0.7983333333333333,0.32275390625
153,74,Abstract,0.9421666666666667,0.3369140625
154,75,Abstract,0.8636666666666667,0.333251953125
155,76,Abstract,0.7596666666666665,0.276123046875
156,77,Abstract,0.7979999999999999,0.30126953125
157,78,Abstract,0.8618333333333335,0.271484375
158,79,Abstract,0.9498333333333332,0.307861328125
159,80,Abstract,0.6913333333333335,0.1810302734375
