,Image,Condition,Human,CLIP
75,76,Concrete,0.9648275862068966,0.299560546875
76,77,Concrete,0.6624137931034482,0.274658203125
77,78,Concrete,0.6879310344827585,0.31396484375
78,79,Concrete,0.6893103448275861,0.30029296875
79,80,Concrete,0.8762068965517242,0.304931640625
80,1,Abstract,0.7462068965517241,0.31787109375
81,2,Abstract,0.9289655172413794,0.31689453125
82,3,Abstract,0.9372413793103447,0.273193359375
83,4,Abstract,0.9144827586206896,0.33984375
84,5,Abstract,0.9251724137931036,0.325439453125
85,6,Abstract,0.8868965517241378,0.284423828125
86,7,Abstract,0.9327586206896551,0.28564453125
87,8,Abstract,0.8962068965517243,0.314208984375
88,9,Abstract,0.772758620689655,0.332763671875
89,10,Abstract,0.7420689655172414,0.339599609375
90,11,Abstract,0.9027586206896553,0.260009765625
91,12,Abstract,0.8120689655172414,0.296142578125
92,13,Abstract,0.8451724137931037,0.3232421875
93,14,Abstract,0.7765517241379309,0.30322265625
94,15,Abstract,0.886206896551724,0.330322265625
95,16,Abstract,0.7579310344827587,0.3115234375
96,17,Abstract,0.9424137931034482,0.34814453125
97,18,Abstract,0.866896551724138,0.343505859375
98,19,Abstract,0.9134482758620689,0.31689453125
99,20,Abstract,0.804137931034483,0.30078125
100,21,Abstract,0.9503448275862069,0.31494140625
101,22,Abstract,0.666206896551724,0.257080078125
102,23,Abstract,0.8934482758620689,0.28662109375
103,24,Abstract,0.7941379310344827,0.2259521484375
104,25,Abstract,0.8806896551724139,0.271728515625
105,26,Abstract,0.893103448275862,0.29931640625
106,27,Abstract,0.8424137931034482,0.262939453125
107,28,Abstract,0.8003448275862068,0.285400390625
108,29,Abstract,0.8900000000000002,0.29248046875
109,30,Abstract,0.8113793103448274,0.319580078125
110,31,Abstract,0.7741379310344828,0.3095703125
111,32,Abstract,0.9155172413793102,0.33447265625
112,33,Abstract,0.9051724137931034,0.334228515625
113,34,Abstract,0.9099999999999999,0.26123046875
114,35,Abstract,0.8586206896551724,0.318359375
115,36,Abstract,0.8524137931034482,0.317626953125
116,37,Abstract,0.882758620689655,0.30126953125
117,38,Abstract,0.5882758620689656,0.29638671875
118,39,Abstract,0.7968965517241379,0.321044921875
119,40,Abstract,0.8675862068965516,0.278076171875
120,41,Abstract,0.9193103448275863,0.3212890625
121,42,Abstract,0.9051724137931034,0.303466796875
122,43,Abstract,0.9810344827586208,0.32958984375
123,44,Abstract,0.8789655172413794,0.29931640625
124,45,Abstract,0.8362068965517241,0.337890625
125,46,Abstract,0.9144827586206895,0.297119140625
126,47,Abstract,0.8603448275862069,0.2802734375
127,48,Abstract,0.9734482758620687,0.3544921875
128,49,Abstract,0.776206896551724,0.31591796875
129,50,Abstract,0.5510344827586208,0.22705078125
130,51,Abstract,0.9189655172413793,0.34228515625
131,52,Abstract,0.8355172413793105,0.260009765625
132,53,Abstract,0.643448275862069,0.291259765625
133,54,Abstract,0.9289655172413793,0.353271484375
134,55,Abstract,0.9010344827586207,0.360595703125
135,56,Abstract,0.877586206896552,0.26220703125
136,57,Abstract,0.8227586206896551,0.29736328125
137,58,Abstract,0.767241379310345,0.326416015625
138,59,Abstract,0.7589655172413793,0.261474609375
139,60,Abstract,0.8272413793103448,0.320068359375
140,61,Abstract,0.29310344827586216,0.29541015625
141,62,Abstract,0.6806896551724139,0.267822265625
142,63,Abstract,0.8831034482758621,0.312744140625
143,64,Abstract,0.8855172413793103,0.34765625
144,65,Abstract,0.8889655172413791,0.221435546875
145,66,Abstract,0.789655172413793,0.2646484375
146,67,Abstract,0.926551724137931,0.305908203125
147,68,Abstract,0.8237931034482757,0.280029296875
148,69,Abstract,0.7903448275862069,0.3115234375
149,70,Abstract,0.8513793103448276,0.33251953125
150,71,Abstract,0.9765517241379311,0.310302734375
151,72,Abstract,0.7806896551724138,0.2587890625
152,73,Abstract,0.7220689655172413,0.32275390625
153,74,Abstract,0.9231034482758621,0.3369140625
154,75,Abstract,0.8358620689655173,0.333251953125
155,76,Abstract,0.8017241379310345,0.276123046875
156,77,Abstract,0.7403448275862069,0.30126953125
157,78,Abstract,0.8482758620689655,0.271484375
158,79,Abstract,0.9365517241379308,0.307861328125
159,80,Abstract,0.7506896551724137,0.1810302734375
