,Image,Condition,Human,CLIP
119,40,Abstract,0.8323377937519549,0.44889892715979673
120,41,Abstract,0.9172317959491446,0.6487859966120836
121,42,Abstract,0.9241884223590983,0.5663466967814794
122,43,Abstract,0.9810829609818422,0.6871823828345568
123,44,Abstract,0.8609801289909693,0.5471485036702428
124,45,Abstract,0.8322762396179605,0.7255787690570299
125,46,Abstract,0.8884725174719178,0.5369847543760587
126,47,Abstract,0.8619605942054155,0.4590626764539808
127,48,Abstract,0.9635945247123228,0.8023715415019763
128,49,Abstract,0.7481163705393795,0.6239412761151891
129,50,Abstract,0.47616069321307747,0.21287408243929984
130,51,Abstract,0.9297625213194457,0.7459062676453981
131,52,Abstract,0.838207312878775,0.365330321852061
132,53,Abstract,0.6451533931624686,0.5098814229249012
133,54,Abstract,0.8936932021995535,0.7967250141163185
134,55,Abstract,0.9097856264758165,0.8306041784302653
135,56,Abstract,0.8613458366594431,0.37549407114624506
136,57,Abstract,0.837066626668908,0.5381140598531903
137,58,Abstract,0.7107036098172052,0.6725014116318464
138,59,Abstract,0.75255227169555,0.37210615471485037
139,60,Abstract,0.8105768206492239,0.6431394692264257
140,61,Abstract,0.23992645092187223,0.5290796160361377
141,62,Abstract,0.6977134598638258,0.40146809712027104
142,63,Abstract,0.8432286490688982,0.6092603049124788
143,64,Abstract,0.8436258876982287,0.7707509881422925
144,65,Abstract,0.8738780180262075,0.18690005646527386
145,66,Abstract,0.7519395465234083,0.3867871259175607
146,67,Abstract,0.8743119068153682,0.577639751552795
147,68,Abstract,0.7708809176444936,0.4579333709768492
148,69,Abstract,0.7871022364663508,0.603613777526821
149,70,Abstract,0.815615183486984,0.7007340485601355
150,71,Abstract,0.9659134485015565,0.5979672501411631
151,72,Abstract,0.7087041962718156,0.35968379446640314
152,73,Abstract,0.7353144479852444,0.655561829474873
153,74,Abstract,0.9230883254637336,0.7210615471485037
154,75,Abstract,0.813329811243525,0.7041219649915302
155,76,Abstract,0.7691964004178679,0.4398644833427442
156,77,Abstract,0.7421314459900188,0.5561829474872954
157,78,Abstract,0.8431060916832012,0.4184076792772445
158,79,Abstract,0.9377235418997124,0.5866741953698476
159,80,Abstract,0.6905009538619423,0.0
